song_id	song_name	display_artist	artist_id	spotify_id
19481	Celebration/Take Your Chance	Fun Factory	302549	null
19485	All Cried Out	Denine With Collage's Adam Marano	null	1twZmSQs1ZsWBR0aikJSqI
19486	Energy	Devone	300846	6D5ruo3ATaIVjAXw9QBs3X
19491	Everybody Be Somebody	Ruffneck Featuring Yavahn	369270	2o7iBEEtJ0Kl8gSYehrImW
19494	Leflaur Leflah Eshkushka	Heltah Skeltah And O.G.C. As The Fab 5	null	null
19495	Daughter/Yellow Ledbetter	Pearl Jam	328459	null
19496	Follow You Down/Til I Hear It From You	Gin Blossoms	302841	2vaF3iStySjdbbIJBe04P7
19498	Get Money	Junior M.A.F.I.A. Featuring The Notorious B.I.G.	1496937	1uUnAtPzMEHpkeodSVMcmL
19505	Can't Be Wasting My Time (From "Don't Be A Menace...")	Mona Lisa Featuring Lost Boyz	311686	null
19506	Microphone Master	Das EFX (Featuring Mobb Deep)	306091	null
19516	Ain't No Playa	Rappin' 4-Tay	362010	3Mu5nGJNRiDWdFgHV3OuIo
19522	Because You Loved Me (From "Up Close & Personal")	Celine Dion	298857	6hRcrByB9i6rYRiHNh170N
19524	Do You Want To/Can't Hang	Xscape Featuring MC Lyte	431553	null
19527	Woo-Hah!! Got You All In Check/Everything Remains Raw	Busta Rhymes	298558	null
19533	Envy/Firewater	Fat Joe	302021	null
19535	Stairway To Heaven	Pure Soul	356287	null
19546	Esa Nena Linda	Artie The 1 Man Party	280015	3LuAODiG2gS7Y6fQVvI600
19550	Soul Food	Goodie Mob.	null	null
19554	Ain't No Nigga/Dead Presidents	Jay-Z Featuring Foxxy Brown	304305	null
19555	Shadowboxin'	Genius/GZA Featuring Method Man	null	7bp5DfkdK1OAvNJ1U4HfDA
19556	'Round We Go	Big Sister	281683	null
19560	Ain't Nobody/Kissing You	Faith Evans	276159	null
19570	Feel The Music	Planet Soul Featuring Brenda Dee	340640	null
19571	Scarred (From "Eddie")	Luke	1496787	3ALjwZwzby8DcbQNVNpjBe
